TIME, v_0, v_col_n, v_col_p, v_d_bias_n, v_d_bias_p, v_g_bias_n, v_g_bias_p, v_g_cu_mi, v_g_in_load, v_nodex, v_o_p, v_out, v_vcc, v_vdd, v_vee, v_vss, i_vbias_inn_neg, i_vbias_inp_pos, i_vbias_load, i_vcc, i_vdd, i_vee, i_vn, i_vp, i_vss, i_rp, i_rn, i_rl, i_m5_cur_mi, i_m7_bias, i_m1_bias_inp_pos, i_m6_cur_mi, i_m8_second_gain, i2_m1_bias_inp_pos, i1_m1_bias_inp_pos, i1_m5_cur_mi, i1_m6_cur_mi, i1_m8_second_gain, i2_m7_bias
0.0, 0.0, 0.0, 0.1, 3.0631e-09, 0.099699, 0.47, 0.47, 0.64677, 0.7, 0.041966, 0.79295, 0.04247, 1.2, 0.8, 0.0, 0.0, -3.3051e-12, -2.6377e-12, -1.6963e-11, -3.0615e-05, -3.0256e-08, 2.5569e-05, 3.0631e-11, -3.0115e-06, 3.0039e-08, 3.0115e-06, -3.0631e-11, 5.0463e-06, -2.6948e-08, 2.5569e-05, 3.0115e-06, -3.3052e-09, -3.0615e-05, 2.6375e-12, 3.0115e-06, -2.6948e-08, -3.3052e-09, -3.0615e-05, 1.4143e-10
2.5e-11, 0.0, 0.0, 0.1, 3.0631e-09, 0.099699, 0.47, 0.47, 0.64677, 0.7, 0.041966, 0.79295, 0.04247, 1.2, 0.8, 0.0, 0.0, -3.3051e-12, -2.6377e-12, -1.6963e-11, -3.0615e-05, -3.0256e-08, 2.5569e-05, 3.0631e-11, -3.0115e-06, 3.0039e-08, 3.0115e-06, -3.0631e-11, 5.0463e-06, -2.6948e-08, 2.5569e-05, 3.0115e-06, -3.3052e-09, -3.0615e-05, 2.6377e-12, 3.0115e-06, -2.6948e-08, -3.3052e-09, -3.0615e-05, 1.4143e-10
5e-11, 0.0, 0.0, 0.1, 3.0631e-09, 0.099699, 0.47, 0.47, 0.64677, 0.7, 0.041966, 0.79295, 0.04247, 1.2, 0.8, 0.0, 0.0, -3.3051e-12, -2.6377e-12, -1.6963e-11, -3.0615e-05, -3.0256e-08, 2.5569e-05, 3.0631e-11, -3.0115e-06, 3.0039e-08, 3.0115e-06, -3.0631e-11, 5.0463e-06, -2.6948e-08, 2.5569e-05, 3.0115e-06, -3.3052e-09, -3.0615e-05, 2.6377e-12, 3.0115e-06, -2.6948e-08, -3.3052e-09, -3.0615e-05, 1.4143e-10
1e-10, 0.0, 0.0, 0.1, 3.0631e-09, 0.099699, 0.47, 0.47, 0.64677, 0.7, 0.041966, 0.79295, 0.04247, 1.2, 0.8, 0.0, 0.0, -3.3051e-12, -2.6377e-12, -1.6963e-11, -3.0615e-05, -3.0256e-08, 2.5569e-05, 3.0631e-11, -3.0115e-06, 3.0039e-08, 3.0115e-06, -3.0631e-11, 5.0463e-06, -2.6948e-08, 2.5569e-05, 3.0115e-06, -3.3052e-09, -3.0615e-05, 2.6377e-12, 3.0115e-06, -2.6948e-08, -3.3052e-09, -3.0615e-05, 1.4143e-10
1.8e-10, 0.0, 0.008, 0.1, 0.007955, 0.099699, 0.47, 0.47, 0.6468, 0.7, 0.041903, 0.7932, 0.042406, 1.2, 0.8, 0.0, 0.0, 1.8162e-09, -2.6374e-12, -3.1686e-11, -3.0571e-05, -2.947e-08, 2.5541e-05, -4.4962e-07, -3.0115e-06, 3.7528e-08, 3.0115e-06, 4.4962e-07, 5.0317e-06, -2.6771e-08, 2.5538e-05, 3.0115e-06, -2.4363e-09, -3.057e-05, 2.6372e-12, 3.0115e-06, -2.6771e-08, -2.4363e-09, -3.057e-05, 1.0148e-09
2.5085e-10, 0.0, 0.015085, 0.1, 0.015005, 0.099699, 0.47, 0.47, 0.64683, 0.7, 0.041845, 0.79339, 0.042347, 1.2, 0.8, 0.0, 0.0, 1.679e-09, -2.6381e-12, -3.1537e-11, -3.0537e-05, -2.962e-08, 2.5513e-05, -8.0019e-07, -3.0115e-06, 3.8344e-08, 3.0115e-06, 8.0019e-07, 5.0257e-06, -2.6798e-08, 2.5512e-05, 3.0115e-06, -2.7305e-09, -3.0538e-05, 2.6382e-12, 3.0115e-06, -2.6798e-08, -2.7305e-09, -3.0538e-05, 6.88e-10
4.2004e-10, 0.0, 0.032004, 0.1, 0.031853, 0.099699, 0.47, 0.47, 0.64686, 0.7, 0.041817, 0.79342, 0.04232, 1.2, 0.8, 0.0, 0.0, 1.6986e-09, -2.6375e-12, -8.672e-12, -3.0533e-05, -3.0225e-08, 2.5498e-05, -1.5132e-06, -3.0115e-06, 4.0822e-08, 3.0115e-06, 1.5132e-06, 5.0347e-06, -2.716e-08, 2.5498e-05, 3.0115e-06, -3.3695e-09, -3.0533e-05, 2.6377e-12, 3.0115e-06, -2.716e-08, -3.3695e-09, -3.0533e-05, -2.9519e-10
9.2004e-10, 0.0, 0.082004, 0.1, 0.081726, 0.099699, 0.47, 0.47, 0.64592, 0.7, 0.043587, 0.7873, 0.044116, 1.2, 0.8, 0.0, 0.0, 1.5743e-09, -2.6385e-12, 1.0768e-10, -3.1617e-05, -3.7879e-08, 2.6319e-05, -2.78e-06, -3.0116e-06, 5.9913e-08, 3.0116e-06, 2.78e-06, 5.2856e-06, -2.7837e-08, 2.6311e-05, 3.0115e-06, -1.1166e-08, -3.1608e-05, 2.6384e-12, 3.0115e-06, -2.7837e-08, -1.1166e-08, -3.1608e-05, -6.0947e-09
1.1e-09, 0.0, 0.1, 0.1, 0.099697, 0.099699, 0.47, 0.47, 0.64519, 0.7, 0.04525, 0.78169, 0.045802, 1.2, 0.8, 0.0, 0.0, 1.6587e-09, -2.6376e-12, 2.1196e-10, -3.261e-05, -4.3551e-08, 2.7072e-05, -3.0271e-06, -3.0116e-06, 7.4506e-08, 3.0116e-06, 3.0271e-06, 5.5176e-06, -2.9175e-08, 2.708e-05, 3.0115e-06, -1.7294e-08, -3.2601e-05, 2.6377e-12, 3.0115e-06, -2.9175e-08, -1.7294e-08, -3.2601e-05, -1.0804e-08
1.35e-09, 0.0, 0.1, 0.1, 0.099699, 0.099699, 0.47, 0.47, 0.64434, 0.7, 0.048328, 0.77218, 0.048912, 1.2, 0.8, 0.0, 0.0, -2.5452e-12, -2.6374e-12, 2.1161e-10, -3.4287e-05, -4.6619e-08, 2.8429e-05, -3.0128e-06, -3.0116e-06, 6.6377e-08, 3.0116e-06, 3.0128e-06, 5.8381e-06, -2.9492e-08, 2.8436e-05, 3.0115e-06, -2.0204e-08, -3.4278e-05, 2.6375e-12, 3.0115e-06, -2.9492e-08, -2.0204e-08, -3.4278e-05, -1.0351e-08
1.4786e-09, 0.0, 0.1, 0.1, 0.099699, 0.099699, 0.47, 0.47, 0.64397, 0.7, 0.049903, 0.76747, 0.050503, 1.2, 0.8, 0.0, 0.0, -2.728e-12, -2.637e-12, 2.0838e-10, -3.5118e-05, -4.7423e-08, 2.91e-05, -3.0127e-06, -3.0116e-06, 6.5861e-08, 3.0116e-06, 3.0127e-06, 5.9999e-06, -2.9531e-08, 2.9111e-05, 3.0115e-06, -2.095e-08, -3.5111e-05, 2.637e-12, 3.0115e-06, -2.9531e-08, -2.095e-08, -3.5111e-05, -9.6607e-09
1.8325e-09, 0.0, 0.1, 0.1, 0.099699, 0.099699, 0.47, 0.47, 0.64355, 0.7, 0.053952, 0.75591, 0.054591, 1.2, 0.8, 0.0, 0.0, -2.5456e-12, -2.6377e-12, 1.7444e-10, -3.7157e-05, -4.8983e-08, 3.0751e-05, -3.0125e-06, -3.0115e-06, 6.4514e-08, 3.0115e-06, 3.0125e-06, 6.39e-06, -2.9985e-08, 3.076e-05, 3.0115e-06, -2.2438e-08, -3.7151e-05, 2.6377e-12, 3.0115e-06, -2.9985e-08, -2.2438e-08, -3.7151e-05, -8.1649e-09
